store,chunk_kib,mix,dist,keys,val_mb,workload,ops,ns_per_op,ops_per_s,p50_ns,p99_ns,max_ns,wa,file_mb,wal_mb,vmhwm_mb
b,64,setbit,uniform,32,8,setbit-read,20032,16424,60887,14375,55708,309209,0.0,0.0,0.0,0.0
b,64,setbit,uniform,32,8,flush,1385,34495950,29,0,0,1242370625,0.0,12136.0,192.0,0.0
b,64,getrange,uniform,32,8,load,32,46081940,22,0,0,0,0.0,288.0,0.0,0.0
b,64,getrange,uniform,32,8,getrange-write,19967,16617,60180,14416,69875,274625,1008.1,0.0,0.0,0.0
b,64,getrange,uniform,32,8,getrange-read,180033,15383,65008,12834,59792,1767000,0.0,0.0,0.0,0.0
b,64,getrange,uniform,32,8,flush,154,52453413,19,0,0,1358950125,0.0,1592.0,192.0,0.0
b,64,setbit,zipf,32,8,load,32,38063361,26,0,0,0,0.0,288.0,0.0,0.0
b,64,setbit,zipf,32,8,setbit-write,179978,22608,44233,17833,93333,13455416,56547.0,0.0,0.0,0.0
b,64,setbit,zipf,32,8,setbit-read,20022,19737,50666,15292,78209,4125167,0.0,0.0,0.0,0.0
b,64,setbit,zipf,32,8,flush,1214,68657539,15,0,0,11872020334,0.0,10672.0,192.0,0.0
